WorkItemId,Title,WorkItemType,State,NormalizedStatus,Workstream,IterationPath,AssignedTo,Phase,CreatedDate,ActivatedDate,ChangedDate,ClosedDate,DueDate,Priority,StoryPoints,ParentWorkItemId,IsBlocked,Tags
1001,Establish enterprise data governance roadmap,Epic,Active,Active,Governance Foundation,Portfolio\Governance Foundation,Governance Analyst A,Phase 1,2025-01-06,2025-01-08,2025-05-30,,2025-09-30,1,21,,false,governance;roadmap
1002,Scale governance controls across data domains,Epic,New,New,Governance Foundation,Portfolio\Governance Foundation,Governance Analyst B,Phase 3,2025-04-01,,2025-04-01,,2025-12-15,2,13,,false,governance;scale
1010,Define governance foundation capability,Feature,Closed,Closed,Governance Foundation,Portfolio\Governance Foundation,Governance Analyst A,Phase 1,2025-01-06,2025-01-08,2025-01-24,2025-01-24,2025-02-20,1,8,1001,false,governance;operating-model
1011,Design metadata and lineage capability,Feature,Closed,Closed,Metadata and Lineage,Portfolio\Metadata and Lineage,Governance Analyst B,Phase 2,2025-01-18,2025-01-20,2025-02-07,2025-02-07,2025-03-04,1,8,1001,false,metadata;lineage
1012,Implement data quality capability,Feature,Active,Active,Data Quality,Portfolio\Data Quality,Data Steward A,Phase 3,2025-01-30,2025-02-01,2025-02-11,,2025-03-16,2,8,1001,false,data-quality;monitoring
1013,Validate access and privacy capability,Feature,In Validation,In Validation,Access and Privacy,Portfolio\Access and Privacy,Data Steward B,Phase 1,2025-02-11,2025-02-13,2025-02-24,,2025-03-28,2,8,1002,false,access;privacy
1014,Document master data and lifecycle capability,Feature,New,New,Master Data and Lifecycle,Portfolio\Master Data and Lifecycle,Data Architect,Phase 2,2025-02-23,,2025-03-09,,2025-04-09,2,8,1002,false,master-data;lifecycle
1100,Define governance operating model 01,User Story,Closed,Closed,Governance Foundation,Portfolio\Governance Foundation,Governance Analyst A,Phase 1,2025-01-14,2025-01-16,2025-01-24,2025-01-24,2025-02-03,1,3,1010,false,governance;operating-model
1101,Design business glossary workflow 02,Task,Closed,Closed,Metadata and Lineage,Portfolio\Metadata and Lineage,Governance Analyst B,Phase 2,2025-01-17,2025-01-20,2025-01-28,2025-01-28,2025-02-13,2,1,1011,false,metadata;lineage
1102,Implement metadata quality rules 03,User Story,Active,Active,Data Quality,Portfolio\Data Quality,Data Steward A,Phase 3,2025-01-20,2025-01-24,2025-01-27,,2025-02-23,3,8,1012,false,data-quality;monitoring
