assessment_id,scenario,is_synthetic,model_version,questionnaire_version,assessment_date,assessment_scope,asset_population,sampling_approach,evidence_rules,assessment_lead_role,applicability_decision,domain_id,domain_name,control_id,assessment_question,respondent_role,control_owner_role,response_summary,self_reported_score,assessment_status,validated_score,evidence_references,evidence_period,coverage_and_limitations,scoring_rationale,exceptions_or_exclusions,reviewer_role,review_date,gap_and_follow_up,target_score,target_date,roadmap_action_id
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D01,Governance Policy and Data Classification,D01-Q01,Are governance roles formally assigned and actively performing their responsibilities within the assessed scope?,Governance Lead,Governance Lead,Roles are assigned informally and owner decisions depend on individual availability.,,Validated,1,"SYN-EV-D01-Q01: fictional Role assignments, responsibility matrix, decisions and completed owner actions",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional execution samples show activity but inconsistent standardization and ownership prevent level 2.,No scope exclusions; control gaps described in response summary,Assessment Reviewer,2026-09-01,Planned R01: establish level 2 capability; see improvement-roadmap.md acceptance criteria,2,,R01
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D01,Governance Policy and Data Classification,D01-Q02,"Are data governance policies approved, accessible and consistently applied by the relevant teams?",Governance Lead,Governance Lead,Approved policies are communicated and applied through documented operating procedures.,,Validated,2,"SYN-EV-D01-Q02: fictional Current policies, approval records, communication records and execution samples",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional approved procedures ownership execution and exception records support level 2; evaluated improvements across successive cycles are not demonstrated.,No scope exclusions; operating exceptions tracked in fictional records,Assessment Reviewer,2026-09-01,Recurring R09: sustain current capability and review exceptions,2,,R09
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D01,Governance Policy and Data Classification,D01-Q03,Are critical data assets classified according to an approved sensitivity scheme?,Governance Lead,Governance Lead,Critical assets have assigned classifications with documented ownership and tracked exceptions.,,Validated,2,"SYN-EV-D01-Q03: fictional Critical-asset inventory, classification criteria, catalog samples and exception register",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional approved procedures ownership execution and exception records support level 2; evaluated improvements across successive cycles are not demonstrated.,No scope exclusions; operating exceptions tracked in fictional records,Assessment Reviewer,2026-09-01,Recurring R09: sustain current capability and review exceptions,2,,R09
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D01,Governance Policy and Data Classification,D01-Q04,"Is classification reviewed periodically and when changes affect data content, purpose or risk?",Governance Lead,Governance Lead,Classification reviews operate across cycles and measured error trends drive verified improvements.,,Validated,3,"SYN-EV-D01-Q04: fictional Review schedule, completed reviews, change triggers and reclassification decisions",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional records demonstrate sustained level 2 operation measured effectiveness and evaluated improvements across successive cycles; this is the highest model level.,No scope exclusions; operating exceptions tracked in fictional records,Assessment Reviewer,2026-09-01,Recurring R09: sustain current capability and review exceptions,3,,R09
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D02,Data Lineage and Metadata Repository,D02-Q01,"Is a centralized metadata repository maintained for the assessed assets, including business definitions and technical descriptions?",Data Steward,Data Steward,A shared catalog exists but maintenance is inconsistent and dependent on individual initiative.,,Validated,1,"SYN-EV-D02-Q01: fictional Catalog or equivalent repository, glossary entries, maintenance procedures and update history",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional execution samples show activity but inconsistent standardization and ownership prevent level 2.,No scope exclusions; control gaps described in response summary,Assessment Reviewer,2026-09-01,Planned R04: establish level 2 capability; see improvement-roadmap.md acceptance criteria,2,,R04
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D02,Data Lineage and Metadata Repository,D02-Q02,"Do critical-asset metadata records identify accountable owners, classification, access requirements and applicable obligations?",Data Steward,Data Steward,Some records contain ownership and access metadata but mandatory fields are not consistently maintained.,,Validated,1,"SYN-EV-D02-Q02: fictional Mandatory metadata standard, sampled records, completeness checks and remediation records",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional execution samples show activity but inconsistent standardization and ownership prevent level 2.,No scope exclusions; control gaps described in response summary,Assessment Reviewer,2026-09-01,Planned R04: establish level 2 capability; see improvement-roadmap.md acceptance criteria,2,,R04
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D02,Data Lineage and Metadata Repository,D02-Q03,"Is lineage maintained from data origin through transformations to consumption, including the purpose of use?",Data Steward,Data Steward,Origin-to-consumption lineage is maintained through an owned documented review process.,,Validated,2,"SYN-EV-D02-Q03: fictional Lineage maps, transformation documentation, validation records and impact-analysis examples",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional approved procedures ownership execution and exception records support level 2; evaluated improvements across successive cycles are not demonstrated.,No scope exclusions; operating exceptions tracked in fictional records,Assessment Reviewer,2026-09-01,Recurring R09: sustain current capability and review exceptions,2,,R09
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D02,Data Lineage and Metadata Repository,D02-Q04,Are structural changes detected and reflected in the metadata repository through a managed process?,Data Steward,Data Steward,Structural changes are detected and catalog updates follow a managed workflow.,,Validated,2,"SYN-EV-D02-Q04: fictional Schema-change records, detection results, update tickets and catalog revision history",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional approved procedures ownership execution and exception records support level 2; evaluated improvements across successive cycles are not demonstrated.,No scope exclusions; operating exceptions tracked in fictional records,Assessment Reviewer,2026-09-01,Recurring R09: sustain current capability and review exceptions,2,,R09
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D03,Data Quality,D03-Q01,Are quality rules defined and applied to critical data according to business requirements?,Data Owner,Data Owner,Approved quality rules operate across critical assets with documented execution and exceptions.,,Validated,2,"SYN-EV-D03-Q01: fictional Approved rules, covered assets, execution results and recorded exceptions",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional approved procedures ownership execution and exception records support level 2; evaluated improvements across successive cycles are not demonstrated.,No scope exclusions; operating exceptions tracked in fictional records,Assessment Reviewer,2026-09-01,Recurring R09: sustain current capability and review exceptions,2,,R09
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D03,Data Quality,D03-Q02,"Are data quality metrics and service levels defined, owned and monitored?",Data Owner,Data Owner,Quality metrics and service levels have owners and recurring monitoring with follow-up.,,Validated,2,"SYN-EV-D03-Q02: fictional Metric definitions, agreed thresholds, monitoring history and review decisions",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional approved procedures ownership execution and exception records support level 2; evaluated improvements across successive cycles are not demonstrated.,No scope exclusions; operating exceptions tracked in fictional records,Assessment Reviewer,2026-09-01,Recurring R09: sustain current capability and review exceptions,2,,R09
